user_id,variant,session_duration,pages_viewed,converted,revenue,platform,user_type
user_0,control,209.8,4,0,0.0,Web,new
user_1,control,113.3,5,0,0.0,iOS,returning
user_2,control,274.8,6,1,25.59,iOS,new
user_3,control,148.5,5,0,0.0,iOS,new
user_4,control,65.2,6,0,0.0,Web,new
user_5,control,88.6,3,0,0.0,Web,returning
user_6,control,95.3,3,0,0.0,iOS,new
user_7,control,215.9,3,0,0.0,iOS,new
user_8,control,186.7,3,0,0.0,iOS,new
user_9,control,236.8,3,0,0.0,Web,new
user_10,control,291.1,3,0,0.0,Web,returning
user_11,control,179.7,6,0,0.0,iOS,returning
user_12,control,106.7,10,0,0.0,Web,returning
user_13,control,251.6,6,0,0.0,iOS,new
user_14,control,190.3,2,0,0.0,Web,returning
user_15,control,85.0,4,0,0.0,Android,returning
user_16,control,243.4,2,0,0.0,iOS,new
user_17,control,188.1,3,1,64.69,Android,new
user_18,control,241.9,6,0,0.0,iOS,returning
user_19,control,167.6,3,0,0.0,iOS,returning
user_20,control,199.9,6,0,0.0,Android,returning
user_21,control,169.3,4,0,0.0,iOS,returning
user_22,control,228.8,7,0,0.0,Web,new
user_23,control,117.7,4,0,0.0,Android,new
user_24,control,201.7,8,0,0.0,Web,returning
user_25,control,382.3,3,0,0.0,Web,returning
user_26,control,185.2,4,0,0.0,Web,new
user_27,control,234.2,5,0,0.0,Web,new
user_28,control,268.7,3,0,0.0,iOS,new
user_29,control,167.3,4,0,0.0,Android,new
user_30,control,234.9,5,0,0.0,iOS,new
user_31,control,262.3,5,0,0.0,Android,returning
user_32,control,137.9,4,0,0.0,Android,returning
user_33,control,256.4,4,0,0.0,iOS,returning
user_34,control,180.3,4,0,0.0,Android,new
user_35,control,156.3,4,0,0.0,Web,returning
user_36,control,170.3,5,0,0.0,Web,new
user_37,control,123.4,7,0,0.0,Web,new
user_38,control,64.9,4,0,0.0,Web,new
user_39,control,186.1,4,0,0.0,iOS,returning
user_40,control,168.5,5,0,0.0,Android,returning
user_41,control,200.4,4,0,0.0,Web,new
user_42,control,248.6,6,0,0.0,Web,returning
user_43,control,131.9,7,0,0.0,iOS,new
user_44,control,215.2,9,0,0.0,iOS,returning
user_45,control,150.4,6,0,0.0,Android,returning
user_46,control,186.0,3,0,0.0,iOS,new
user_47,control,180.5,4,0,0.0,Web,returning
user_48,control,116.3,5,0,0.0,iOS,returning
user_49,control,217.2,4,0,0.0,Android,returning
user_50,control,133.0,4,0,0.0,iOS,returning
user_51,control,158.6,6,0,0.0,iOS,new
user_52,control,193.6,7,0,0.0,Web,returning
user_53,control,160.5,4,0,0.0,Web,returning
user_54,control,195.6,6,0,0.0,Web,returning
user_55,control,258.0,3,0,0.0,Android,new
user_56,control,195.0,5,0,0.0,iOS,returning
user_57,control,193.6,6,1,51.86,iOS,new
user_58,control,137.1,5,0,0.0,iOS,new
user_59,control,107.0,2,0,0.0,Web,new
user_60,control,219.4,3,0,0.0,Web,returning
user_61,control,112.2,6,0,0.0,Web,new
user_62,control,204.8,3,0,0.0,Android,returning
user_63,control,188.8,3,0,0.0,Web,returning
user_64,control,131.1,6,0,0.0,Web,returning
user_65,control,165.6,5,0,0.0,Web,new
user_66,control,267.2,2,0,0.0,Web,new
user_67,control,177.9,2,0,0.0,Web,returning
user_68,control,208.9,4,0,0.0,Web,returning
user_69,control,224.4,3,0,0.0,iOS,returning
user_70,control,89.1,3,0,0.0,Android,new
user_71,control,149.2,5,0,0.0,Android,new
user_72,control,203.1,5,0,0.0,Web,returning
user_73,control,131.5,5,0,0.0,Web,new
user_74,control,111.4,6,0,0.0,Web,new
user_75,control,244.0,2,0,0.0,Web,returning
user_76,control,123.7,5,0,0.0,Web,new
user_77,control,195.4,6,0,0.0,iOS,returning
user_78,control,411.2,7,0,0.0,iOS,new
user_79,control,239.3,4,0,0.0,Web,returning
user_80,control,225.5,5,1,19.7,Android,new
user_81,control,72.7,5,0,0.0,iOS,returning
user_82,control,151.7,7,0,0.0,Android,new
user_83,control,273.6,5,0,0.0,iOS,new
user_84,control,136.2,5,0,0.0,Web,new
user_85,control,323.3,8,0,0.0,iOS,returning
user_86,control,58.5,5,0,0.0,iOS,new
user_87,control,153.3,1,0,0.0,iOS,returning
user_88,control,210.3,6,0,0.0,Web,new
user_89,control,159.9,4,0,0.0,Android,returning
user_90,control,285.9,5,0,0.0,iOS,new
user_91,control,202.6,8,0,0.0,Web,returning
user_92,control,88.8,4,0,0.0,Android,returning
user_93,control,165.8,8,0,0.0,Android,returning
user_94,control,0.0,2,0,0.0,iOS,new
user_95,control,60.3,2,0,0.0,iOS,new
user_96,control,153.6,5,0,0.0,Android,new
user_97,control,183.5,9,0,0.0,Web,new
user_98,control,121.1,5,0,0.0,Web,new
user_99,control,167.9,5,0,0.0,iOS,new
user_100,control,186.8,6,0,0.0,Web,new
user_101,control,143.1,9,0,0.0,iOS,new
user_102,control,170.9,6,0,0.0,iOS,returning
user_103,control,150.8,5,0,0.0,iOS,new
user_104,control,144.6,6,0,0.0,Android,returning
user_105,control,237.1,7,0,0.0,iOS,new
user_106,control,228.8,6,0,0.0,Web,returning
user_107,control,213.1,3,0,0.0,iOS,returning
user_108,control,178.7,5,0,0.0,Android,new
